card_name,offer_url,rarity,lowest,highest,average,offer_count
Mirrorjade the Iceblade Dragon (extended art),https://mypcards.com/yugioh/produto/318775/mirrorjade-the-iceblade-dragon-extended-art,Ultra Rare,699.99,1200.00,866.66,3
Mirrorjade the Iceblade Dragon (extended art),https://mypcards.com/yugioh/produto/318775/mirrorjade-the-iceblade-dragon-extended-art,Starlight Rare,3000.00,3000.00,3000.00,1
Mirrorjade the Iceblade Dragon (extended art),https://mypcards.com/yugioh/produto/318775/mirrorjade-the-iceblade-dragon-extended-art,Ultra Rare,699.99,1200.00,866.66,3
Mirrorjade the Iceblade Dragon (extended art),https://mypcards.com/yugioh/produto/318775/mirrorjade-the-iceblade-dragon-extended-art,Starlight Rare,3000.00,3000.00,3000.00,1
Red-Eyes Dark Dragoon (extended art),https://mypcards.com/yugioh/produto/318770/red-eyes-dark-dragoon-extended-art,Ultra Rare,649.00,750.00,699.66,6
Red-Eyes Dark Dragoon (extended art),https://mypcards.com/yugioh/produto/318770/red-eyes-dark-dragoon-extended-art,Common,700.00,700.00,700.00,2
Super Polymerization (extended art),https://mypcards.com/yugioh/produto/320882/super-polymerization-extended-art,Ultra Rare,549.99,1200.00,719.98,10
Super Polymerization (extended art),https://mypcards.com/yugioh/produto/320882/super-polymerization-extended-art,Starlight Rare,1200.00,1999.00,1599.50,4
Firewall Dragon Singularity (extended art),https://mypcards.com/yugioh/produto/320881/firewall-dragon-singularity-extended-art,Ultra Rare,350.00,399.00,374.50,4
Odd-Eyes Arcray Dragon (extended art),https://mypcards.com/yugioh/produto/320880/odd-eyes-arcray-dragon-extended-art,Ultra Rare,260.00,380.00,337.37,24
Odd-Eyes Arcray Dragon (extended art),https://mypcards.com/yugioh/produto/320880/odd-eyes-arcray-dragon-extended-art,Starlight Rare,2500.00,2500.00,2500.00,2
Kurikara Divincarnate (extended art),https://mypcards.com/yugioh/produto/318774/kurikara-divincarnate-extended-art,Ultra Rare,448.90,680.00,536.06,24
Kurikara Divincarnate (extended art),https://mypcards.com/yugioh/produto/318774/kurikara-divincarnate-extended-art,Starlight Rare,1990.00,1990.00,1990.00,2
Dragão Toon de Olhos Azuis,https://mypcards.com/yugioh/produto/318763/dragao-toon-de-olhos-azuis,Starlight Rare,222.00,359.00,286.18,10
Shooting Quasar Dragon (extended art),https://mypcards.com/yugioh/produto/318772/shooting-quasar-dragon-extended-art,Ultra Rare,200.00,850.00,403.50,16
Elo Entre Professor e Estudante,https://mypcards.com/yugioh/produto/320806/elo-entre-professor-e-estudante,Starlight Rare,200.00,250.00,215.14,14
Sábio Negro,https://mypcards.com/yugioh/produto/320749/sabio-negro,Starlight Rare,199.00,200.00,199.75,8
Impulso Dominus,https://mypcards.com/yugioh/produto/320825/impulso-dominus,Prismatic Collector’s Rare,189.90,200.00,193.30,6
Impulso Dominus,https://mypcards.com/yugioh/produto/320825/impulso-dominus,Prismatic Style Ultimate Rare,189.90,200.00,195.98,10
Impulso Dominus,https://mypcards.com/yugioh/produto/320825/impulso-dominus,Prismatic Style Collector’s Rares,190.00,300.00,230.00,6
Impulso Dominus,https://mypcards.com/yugioh/produto/320825/impulso-dominus,Prismatic Ultimate Rare,200.00,300.00,250.00,4
Impulso Dominus,https://mypcards.com/yugioh/produto/320825/impulso-dominus,Platinum Secret Rares,199.99,300.00,250.00,4
Impulso Dominus,https://mypcards.com/yugioh/produto/320825/impulso-dominus,Collector's Rare,300.00,300.00,300.00,2
Number 99: Utopia Dragonar (extended art),https://mypcards.com/yugioh/produto/318773/number-99-utopia-dragonar-extended-art,Starlight Rare,299.99,699.99,499.99,4
Number 99: Utopia Dragonar (extended art),https://mypcards.com/yugioh/produto/318773/number-99-utopia-dragonar-extended-art,Ultra Rare,170.00,299.99,224.00,10
Purga Dominus,https://mypcards.com/yugioh/produto/321063/dominus-purge,Prismatic Style Collector’s Rares,145.00,145.00,145.00,2
Purga Dominus,https://mypcards.com/yugioh/produto/321063/dominus-purge,Prismatic Style Ultimate Rare,145.00,145.00,145.00,2
Purga Dominus,https://mypcards.com/yugioh/produto/321063/dominus-purge,Prismatic Collector’s Rare,199.00,199.00,199.00,2
